SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
48595.0,University_of_Brighton,Band 5,Higher Education,University of Brighton,Active,2014-09-25,BFI InView  (2014-18),2014-09-25,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,England,Active,Free Agreement
48460.0,University_of_Cambridge,Band 1,Higher Education,University of Cambridge,Active,2014-09-16,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-16,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48518.0,University_of_Cambridge,Band 1,Higher Education,University of Cambridge,Active,2014-09-18,Oxford Journals Archive (2014-2017 for access via OUP's platform),2014-09-18,2017-07-31,Oxford Journals Jisc Collections Oxford Journal Archive July 2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement
48442.0,University_of_Central_Lancashire,Band 5,Higher Education,University of Central Lancashire,Active,2014-09-15,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-15,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48309.0,University_of_Chester,Band 7,Higher Education,University of Chester,Active,2014-09-02,IMechE NESLi2 SMP 2013-2014 offer,2014-09-02,2014-12-31,JISC Collections SAGE Publications IMechE NESLi2 SMP 2013-2014 offer,2013-01-01,2014-12-31,Direct,England,Active,NESLi2 Agreement
48311.0,University_of_Chester,Band 7,Higher Education,University of Chester,Active,2014-09-02,IOP Publishing NESLi2 2014 agreement - Option 2,2014-09-02,2014-12-31,IOPP NESLi2 2014 offer - Option 2,2014-01-01,2014-12-31,Direct,England,Active,NESLi2 Agreement
48323.0,University_of_Chester,Band 7,Higher Education,University of Chester,Active,2014-09-04,RSC NESLi2 2013-15 (Royal Society of Chemistry): RSC Gold offer,2014-09-04,2015-12-31,Jisc Collections Royal Society of Chemistry RSC Material December 2015,2013-01-01,2015-12-31,Sublicence,England,Active,NESLi2 Agreement
48584.0,University_of_Chester,Band 7,Higher Education,University of Chester,Active,2014-09-25,BFI InView  (2014-18),2014-09-25,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,England,Active,Free Agreement
48597.0,University_of_Chichester,Band 9,Higher Education,University of Chichester,Active,2014-09-25,BFI InView  (2014-18),2014-09-25,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,England,Active,Free Agreement
48455.0,University_of_Cumbria,Band 7,Higher Education,University of Cumbria,Active,2014-09-16,Oxford Journals Archive (2014-2017 for access via OUP's platform),2014-09-16,2017-07-31,Oxford Journals Jisc Collections Oxford Journal Archive July 2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement
48546.0,University_of_Derby,Band 6,Higher Education,University of Derby,Active,2014-09-23,a-n The Artists Information Company 2014-17,2014-09-23,2017-07-31,a-n The Artists Information Company Database Agreement July 2017,2014-08-01,2017-07-31,Direct,England,Active,Yearly Agreement
48547.0,University_of_Derby,Band 6,Higher Education,University of Derby,Active,2014-09-23,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-23,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48622.0,University_of_Derby,Band 6,Higher Education,University of Derby,Active,2014-09-26,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-09-26,2017-07-31,Cengage Jisc Collections Hosting Arrangement July 2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement
48340.0,University_of_Dundee,Band 4,Higher Education,University of Dundee,Active,2014-09-05,a-n The Artists Information Company 2014-17,2014-09-05,2017-07-31,a-n The Artists Information Company Database Agreement July 2017,2014-08-01,2017-07-31,Direct,Scotland,Active,Yearly Agreement
48474.0,University_of_Dundee,Band 4,Higher Education,University of Dundee,Active,2014-09-17,Science Classic,2014-09-17,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,Scotland,Active,Free Agreement
48558.0,University_of_Dundee,Band 4,Higher Education,University of Dundee,Active,2014-09-23,Oxford Reference Online Premium Collection: for Higher Education 2014-2017,2014-09-23,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,Scotland,Active,Yearly Agreement
48632.0,University_of_East_Anglia,Band 5,Higher Education,University of East Anglia,Active,2014-09-26,Portico eJournals (2014-2017),2014-09-26,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement
48454.0,University_of_East_London,Band 5,Higher Education,University of East London,Active,2014-09-16,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-16,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48598.0,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2014-09-25,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-25,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,Scotland,Request sent,Yearly Agreement
48401.0,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2014-09-12,Embase (via the Ovid platform): 2013 - 2016 Agreement ,2014-09-12,2016-07-31,Jisc Collections Wolters Kluwer Health (Medical Research) Ltd Embase July 2016,2013-08-01,2016-07-31,Direct,England,Request sent,Yearly Agreement
48418.0,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2014-09-15,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-15,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48563.0,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2014-09-24,British Standards Online 2014-2017,2014-09-24,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement
48596.0,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2014-09-25,BFI InView  (2014-18),2014-09-25,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,England,Active,Free Agreement
48641.0,University_of_Glasgow,Band 2,Higher Education,University of Glasgow,Active,2014-09-26,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-26,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,Scotland,Request sent,Yearly Agreement
48666.0,University_of_Hull,Band 5,Higher Education,University of Hull,Active,2014-09-29,Grove Art and Grove Music Online joint offer (discounted pricing) Higher Education - New Orders 2014-2017,2014-09-29,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Active,Yearly Agreement
48667.0,University_of_Hull,Band 5,Higher Education,University of Hull,Active,2014-09-29,Oxford Dictionary of National Biography and Who's Who & Who Was Who (discounted package) For Higher Education - New Orders 2014-2017,2014-09-29,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Active,Yearly Agreement
48668.0,University_of_Hull,Band 5,Higher Education,University of Hull,Active,2014-09-29,Oxford Handbooks Online For Higher Education - New Orders 2014-2017,2014-09-29,2017-08-31,Jisc Collections OUP AGreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48669.0,University_of_Hull,Band 5,Higher Education,University of Hull,Active,2014-09-29,Oxford Reference Online Premium Collection plus 1 Subject Collection (Literature): Higher Education 2014-2017,2014-09-29,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Active,Yearly Agreement
48670.0,University_of_Hull,Band 5,Higher Education,University of Hull,Active,2014-09-29,Oxford Scholarship Online For Higher Education - New Orders 2014-2017,2014-09-29,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48677.0,University_of_Hull,Band 5,Higher Education,University of Hull,Active,2014-09-29,Oxford English Dictionary Online For Higher Education - New Orders 2014-2017,2014-09-29,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Active,Yearly Agreement
48579.0,University_of_Kent,Band 5,Higher Education,University of Kent,Active,2014-09-24,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-24,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
