SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type,Column
51123,"St_Mary's_University_College,_Twickenham",Band 9,Higher Education,"St Mary's University College, Twickenham",Active,2015-04-13,Cambridge Companions Online (CCO) - Complete Collection 2015-2018,2015-04-14,2018-01-08,Jisc Collections CUP Cambridge Companions Online Jan 2018,2015-01-09,2018-01-08,Sublicence,England,Active,Yearly Agreement,
51139,Swansea_University,Band 5B,Higher Education,Swansea University,Active,2015-04-15,JSTOR - Arts & Sciences V Collection 2012-15 renewal,2015-04-15,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,Wales,Request sent,Yearly Agreement,
51186,Swansea_University,Band 5B,Higher Education,Swansea University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Wales,Request sent,Consortia Agreement,
51259,Swansea_University,Band 5B,Higher Education,Swansea University,Active,2015-04-17,Science Classic,2015-04-17,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,Wales,Active,Free Agreement,
51323,Swansea_University,Band 5B,Higher Education,Swansea University,Active,2015-04-29,IOP Publishing Jisc Collections 2015 agreement - Option 1,2015-04-29,2015-12-31,IOP Publishing Jisc Collections 2015 agreement - Option 1,2015-01-01,2015-12-31,Direct,Wales,Active,NESLi2 Agreement,
51296,University_Campus_Suffolk,Band 9,Higher Education,University Campus Suffolk,Active,2015-04-22,"ProQuest Archives 2014-2017 (House of Commons Parliamentary Papers, British Periodicals Collections I and II, Periodicals Archive Online: Jisc Collections Selection, Early European Books Parts 1-4, and the Vogue Archive)",2015-04-22,2017-10-31,"Jisc Collections ProQuest 18 19 20 C House of Commons Parliamentary Papers, British Periodicals Collection I & II, Periodicals Archive Online Jisc Coll Selection, Early European Books 1-4 and The Vogue Archive October 2017",2014-11-01,2017-10-31,Sublicence,England,Active,Yearly Agreement,
51115,University_College_London,Band 1,Higher Education,University College London,Active,2015-04-09,e-Duke Books Scholarly Collection 2015,2015-04-09,2015-12-31,e-Duke Books Scholarly Collection 2015,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement,
51187,University_College_London,Band 1,Higher Education,University College London,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51194,University_College_London,Band 1,Higher Education,University College London,Active,2015-04-16,Science Classic,2015-04-16,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement,
51280,University_College_London,Band 1,Higher Education,University College London,Active,2015-04-21,Oxford Bibliographies Online For Higher Education - New Orders 2014-2017,2015-05-01,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Active,Yearly Agreement,
51310,University_College_London,Band 1,Higher Education,University College London,Active,2015-04-24,De Gruyter Open Access Membership Scheme 2015-2017,2015-04-24,2015-12-31,De Gruyter OA Membership Scheme 2015-2017,2015-01-01,2015-12-31,Direct,England,Request sent,Free Agreement,
51188,University_of_Aberdeen,Band 5A,Higher Education,University of Aberdeen,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
51189,University_of_Abertay_Dundee,Band 9,Higher Education,University of Abertay Dundee,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
51190,University_of_Bath,Band 5A,Higher Education,University of Bath,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51191,University_of_Bedfordshire,Band 5B,Higher Education,University of Bedfordshire,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51192,University_of_Birmingham,Band 2,Higher Education,University of Birmingham,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51193,University_of_Bradford,Band 5B,Higher Education,University of Bradford,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51272,University_of_Bradford,Band 5B,Higher Education,University of Bradford,Active,2015-04-20,Science Classic,2015-04-20,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement,
51197,University_of_Cambridge,Band 1,Higher Education,University of Cambridge Central Science Library,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
