SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry
47652,University_of_St_Andrews,Band 5,Higher Education,University of St Andrews,Active,7/21/14 12:47,EBSCO Education Databases,2014-08-01,2017-07-31
47693,University_of_St_Andrews,Band 5,Higher Education,University of St Andrews,Active,7/22/14 15:48,JSTOR - Arts & Sciences XII Collection 2012-15 renewal,2014-07-22,2015-07-31
47694,University_of_St_Andrews,Band 5,Higher Education,University of St Andrews,Active,7/22/14 15:48,JSTOR - Business IV Collection-2012-15 renewal,2014-07-22,2015-07-31
47801,University_of_St_Andrews,Band 5,Higher Education,University of St Andrews,Active,7/29/14 16:00,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47564,University_of_Stirling,Band 6,Higher Education,University of Stirling,Active,7/16/14 15:04,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47572,University_of_Stirling,Band 6,Higher Education,University of Stirling,Active,7/16/14 15:59,Environment Digimap (2014-2015),2014-08-01,2015-07-31
47742,University_of_Stirling,Band 6,Higher Education,University of Stirling,Active,7/24/14 17:02,EBSCO Education Databases,2014-08-01,2017-07-31
47304,University_of_Strathclyde,Band 4,Higher Education,University of Strathclyde,Active,7/2/14 17:08,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47538,University_of_Sunderland,Band 5,Higher Education,University of Sunderland,Active,7/16/14 9:54,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47654,University_of_Sunderland,Band 5,Higher Education,University of Sunderland,Active,7/21/14 14:16,EBSCO Education Databases,2014-08-01,2017-07-31
47501,University_of_Surrey,Band 5,Higher Education,University of Surrey,Active,7/14/14 16:09,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47633,University_of_Sussex,Band 5,Higher Education,University of Sussex,Active,7/18/14 16:34,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47734,University_of_Sussex,Band 5,Higher Education,University of Sussex,Active,7/24/14 15:07,EBSCO Education Databases,2014-08-01,2017-07-31
47738,University_of_Sussex,Band 5,Higher Education,University of Sussex,Active,7/24/14 15:37,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47757,University_of_Sussex,Band 5,Higher Education,University of Sussex,Active,7/25/14 13:08,Early European Books Collections 1-4 and The Vogue Archive,2014-07-25,2014-10-31
47770,University_of_Sussex,Band 5,Higher Education,University of Sussex,Active,7/28/14 12:40,The Times Digital Archive (1785-2008 and rolling) 2014-2017,2014-08-01,2017-07-31
47344,University_of_the_Arts_London,Band 5,Higher Education,University of the Arts London,Active,7/4/14 12:57,Social Theory Perpetual Purchase (2014 to 2016 Pricing),2014-09-30,2115-09-29
47509,University_of_the_Arts_London,Band 5,Higher Education,University of the Arts London,Active,7/15/14 11:46,De Gruyter Online Journal Archive,2014-07-15,2018-05-09
47518,University_of_the_Arts_London,Band 5,Higher Education,University of the Arts London,Active,7/15/14 14:43,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47547,University_of_the_Arts_London,Band 5,Higher Education,University of the Arts London,Active,7/16/14 12:03,Early European Books Collections 1-4 and The Vogue Archive,2014-07-16,2014-10-31
47261,University_of_the_Highlands_and_Islands,Band 7,Higher Education,University of the Highlands and Islands,Active,7/1/14 9:58,British Standards Online 2014-2017,2014-07-01,2017-05-31
47429,University_of_the_West_of_England,Band 5,Higher Education,University of the West of England,Active,7/9/14 10:31,Environment Digimap (2014-2015),2014-08-01,2015-07-31
47709,University_of_the_West_of_England,Band 5,Higher Education,University of the West of England,Active,7/23/14 11:25,The Times Digital Archive (1785-1985) 2014-2017,2014-08-01,2017-07-31
47710,University_of_the_West_of_England,Band 5,Higher Education,University of the West of England,Active,7/23/14 11:45,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47810,University_of_the_West_of_England,Band 5,Higher Education,University of the West of England,Active,7/30/14 12:20,EBSCO Education Databases,2014-08-01,2017-07-31
47359,University_of_the_West_of_Scotland,Band 6,Higher Education,University of the West of Scotland,Active,7/4/14 15:10,Early European Books Collections 1-4 and The Vogue Archive,2014-07-04,2014-10-31
47567,University_of_Ulster,Band 5,Higher Education,University of Ulster,Active,7/16/14 15:23,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47605,University_of_Ulster,Band 5,Higher Education,University of Ulster,Active,7/18/14 10:04,EBSCO Education Databases,2014-08-01,2017-07-31
47283,University_of_Wales_Trinity_St_David,Band 7,Higher Education,University of Wales Trinity St David,Active,7/2/14 9:32,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47452,University_of_Wales_Trinity_St_David,Band 7,Higher Education,University of Wales Trinity St David,Active,7/10/14 9:11,The Times Digital Archive (1785-2008) WHEEL 2014-2017,2014-08-01,2017-07-31
47692,University_of_Wales_Trinity_St_David,Band 7,Higher Education,University of Wales Trinity St David,Active,7/22/14 15:27,EBSCO Education Databases,2014-08-01,2017-07-31
47470,University_of_Westminster,Band 5,Higher Education,University of Westminster,Active,7/10/14 16:10,Early European Books Collections 1-4 and The Vogue Archive,2014-07-10,2014-10-31
47660,University_of_Westminster,Band 5,Higher Education,University of Westminster,Active,7/21/14 15:23,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47431,University_of_Winchester,Band 8,Higher Education,University of Winchester,Active,7/9/14 11:37,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47588,University_of_Winchester,Band 8,Higher Education,University of Winchester,Active,7/17/14 14:12,Early European Books Collections 1-4 and The Vogue Archive,2014-07-17,2014-10-31
47617,University_of_Winchester,Band 8,Higher Education,University of Winchester,Active,7/18/14 12:35,EBSCO Education Databases,2014-08-01,2017-07-31
47364,University_of_Worcester,Band 7,Higher Education,University of Worcester,Active,7/4/14 16:33,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
