SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
51008,University_of_Bath,Band 5A,Higher Education,University of Bath,Active,2015-03-16,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-16,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
51030,University_College_London,Band 1,Higher Education,University College London,Active,2015-03-19,OUP Oxford Medical eBooks - London Medical Schools Group - 2015/16,2015-04-01,2016-03-31,Jisc Collections LMSG OUP eBooks Agreement March 2016,2015-04-01,2016-03-31,Sublicence,England,Request sent,Consortia Agreement
51039,University_College_London,Band 1,Higher Education,University College London,Active,2015-03-19,UPCC Book Collections on Project MUSE�  2015,2015-03-19,2015-12-31,Jisc Collections JHUP Project MUSE UPCC eBooks Collection Dec 2015,2015-01-01,2015-12-31,Direct,England,Request sent,One-off Agreement
51046,University_College_London,Band 1,Higher Education,University College London,Active,2015-03-24,Thieme Journals SMP Agreement 2015,2015-03-24,2015-12-31,Jisc Collections Thieme Journals SMP Dec 2015,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
51071,University_Campus_Suffolk,Band 9,Higher Education,University Campus Suffolk,Active,2015-03-26,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-03-26,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
51024,The_Open_University,Band 2,Higher Education,The Open University,Active,2015-03-18,Very Short Introductions For Higher Education - New Orders 2014-2017,2015-04-01,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
51043,The_Open_University,Band 2,Higher Education,The Open University,Active,2015-03-20,Statista.com,2015-03-20,2015-12-31,Statista 2015,2015-01-01,2015-12-31,Direct,England,Request sent,Yearly Agreement
50988,Teesside_University,Band 5B,Higher Education,Teesside University,Active,2015-03-12,IMechE SMP 2015-2016 offer,2015-03-12,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50964,Swansea_University,Band 5B,Higher Education,Swansea University,Active,2015-03-11,Project MUSE Journals Agreement 2015 to 2017,2015-03-11,2017-12-31,Jisc Collections Johns Hopkins University Press Project MUSE Dec 2017,2015-01-01,2017-12-31,Sublicence,Wales,Active,NESLi2 Agreement
51070,Staffordshire_University,Band 5B,Higher Education,Staffordshire University,Active,2015-03-26,Oxford University Press Journals Subject Collections 2015 offer,2015-03-26,2015-12-31,Jisc Collections OUP Journals Subject Collections 2015,2015-01-01,2015-12-31,Sublicence,England,Active,NESLi2 Agreement
51031,St_George's_University_of_London,Band 7,Higher Education,St George's University of London,Active,2015-03-19,OUP Oxford Medical eBooks - London Medical Schools Group - 2015/16,2015-04-01,2016-03-31,Jisc Collections LMSG OUP eBooks Agreement March 2016,2015-04-01,2016-03-31,Sublicence,England,Request sent,Consortia Agreement
51047,St_George's_University_of_London,Band 7,Higher Education,St George's University of London,Active,2015-03-24,Royal Society of Medicine (SAGE) Journals 2015-16 SMP offer,2015-03-24,2016-12-31,Jisc Collections SAGE RSM SMP 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50963,Southampton_Solent_University,Band 6,Higher Education,Southampton Solent University,Active,2015-03-10,Digimap Ordnance Survey Collection�  2014-2016,2015-03-10,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
