SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
36945,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2011-12-20,Cell Press NESLi2 2012 to 2016 offer,2012-01-01,2016-12-31,JISC Collections Elsevier Cell Press December 2016,2012-01-01,2016-12-31,Direct,Request sent,NESLi2 Agreement,
35314,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2011-07-22,Digimap Ordnance Survey Collection 2011-2016,2011-08-01,2016-07-31,Digimap Ordnance Survey Collection test sublicence agreement 2011-2015,2011-08-01,2016-07-31,Sublicence,Active,Yearly Agreement,
36344,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2011-10-31,Elsevier NESLi2 2012-2016 offer,2012-01-01,2016-12-31,JISC Collections Elsevier Science Direct December 2016,2012-01-01,2016-12-31,Direct,Request sent,NESLi2 Agreement,
46028,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2014-01-22,"Encyclopaedia Britannica - 4 Month Free Trial (3rd Feb to 31st May 2014) - Image Quest, Britannica Online Academic Edition, eBook Collection",2014-02-01,2014-05-31,Britannica Free Trial ,2014-02-01,2014-05-31,Direct,Request sent,NESLi2 Agreement,
45037,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-11-14,Environment Digimap (2013-2014),2013-11-14,2014-07-31,Jisc_Collections_NERC_CEH_Land_Cover_Map_Data_Sublicence_July_2015,2013-10-28,2014-07-31,Sublicence,Active,Free Agreement,
27453,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2009-10-02,Foreign Broadcast Information Service Daily Reports: JISC Collections Selection,2009-10-02,2014-08-31,"JISC Collections Newsbank, Inc. FBIS Daily Report (1974-1996) perpetual",2009-09-01,2014-08-31,Sublicence,Active,Free Agreement,
31629,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2010-07-27,Geology Digimap: 2010-2016 Agreement,2010-08-01,2016-07-31,JISC Collections Natural Environment Research Council British Geological Survey Data July 2016,2010-08-01,2016-07-31,Sublicence,Active,Yearly Agreement,
43709,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-08-20,Grove Art and Grove Music Online joint offer (discounted pricing) 2013-2014,2013-09-01,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,Active,Yearly Agreement,
43189,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-07-19,Historic Digimap 2013-2016 agreement,2013-08-01,2016-07-31,Landmark_Information_Group_JISC_Collections_August_2016_sub-licence,2013-08-01,2016-07-31,Sublicence,Active,Yearly Agreement,
44713,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-10-22,IMechE NESLi2 SMP 2013-2014 offer,2013-10-22,2014-12-31,JISC Collections SAGE Publications IMechE NESLi2 SMP 2013-2014 offer,2013-01-01,2014-12-31,Direct,Active,NESLi2 Agreement,
