Subscription ID,Subscription URL,Subscription Name,Swets Subscription Number,Subscription Start Date,Subscription End Date
11374,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11374,SWETS: Canadian Journal of Physiology and Pharmacology - Site License - Internet,46918470,2014-01-01,2014-12-31
11375,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11375,SWETS: Frontiers in Ecology and the Environment - Single Site - Large - 3000+ FTE's - Internet,46918500,2014-01-01,2014-12-31
11376,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11376,SWETS: Art in Translation - Internet,48206256,2014-01-01,2014-12-31
11377,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11377,SWETS: CALICO Journal - Internet,48215612,2014-01-01,2014-12-31
11378,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11378,SWETS: African American Review - Internet,48223487,2014-01-01,2014-12-31
11379,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11379,SWETS: American Indian Quarterly - MUSE - Internet,48223525,2014-01-01,2014-12-31
11380,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11380,SWETS: American Jewish History - Internet,48223533,2014-01-01,2014-12-31
11381,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11381,SWETS: Journal of Asian American Studies - Internet,48223542,2014-01-01,2014-12-31
11382,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11382,SWETS: Southern Cultures - Internet,48223568,2014-01-01,2014-12-31
11383,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11383,SWETS: Bulletin of the History of Medicine - Internet,48223584,2014-01-01,2014-12-31
11384,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11384,SWETS: American Periodicals - Internet,48223606,2014-01-01,2014-12-31
11385,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11385,SWETS: Essays in Medieval Studies - Internet,48223614,2014-01-01,2014-12-31
11386,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11386,SWETS: French Colonial History - JSTOR - Full Run - Internet,48223649,2014-01-01,2014-12-31
11387,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11387,SWETS: Journal of Colonialism and Colonial History - Internet,48223657,2014-01-01,2014-12-31
11388,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11388,SWETS: New Hibernia Review - Internet,48223682,2014-01-01,2014-12-31
11389,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11389,SWETS: Studies in Eighteenth Century Culture - East Lansing - MUSE - Internet,48223703,2014-01-01,2014-12-31
11390,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11390,SWETS: American Journal of Mathematics - Internet,48223712,2014-01-01,2014-12-31
11391,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11391,SWETS: Advertising and Society Review - Internet,48267093,2014-01-01,2014-12-31
11392,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11392,SWETS: Journal of Immunology - Single Site - Large - Internet,48280014,2014-01-01,2014-12-31
11393,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11393,SWETS: American Journal of Psychiatry - Tier 4 - Internet,48280031,2014-01-01,2014-12-31
11394,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11394,SWETS: American Journal of Clinical Nutrition - Multisite License - Internet,48280073,2014-01-01,2014-12-31
11395,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11395,SWETS: Blood - Tier 4.6 - Multiple Site - Internet,48280082,2014-01-01,2014-12-31
11396,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11396,SWETS: Journal of Parasitology - American Society of Parasitologists - Internet,48280090,2014-01-01,2014-12-31
11397,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11397,SWETS: Investigative Ophthalmology and Visual Science - Internet,48280103,2014-01-01,2014-12-31
11398,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11398,SWETS: Ecological Applications - Single Site - Large - 3000+ FTE's - Internet,48280120,2014-01-01,2014-12-31
11399,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11399,SWETS: Ecological Monographs - Single Site - Large - 3000+ FTE's - Internet,48280138,2014-01-01,2014-12-31
11400,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11400,SWETS: Journal of Economic Entomology - Internet,48280146,2014-01-01,2014-12-31
11401,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11401,SWETS: Genetics - Tier 3 - Single Site - Internet,48280154,2014-01-01,2014-12-31
11402,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11402,SWETS: Climate Research - Single Site - Internet,48280235,2014-01-01,2014-12-31
11403,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11403,SWETS: Radiology - Radiological Society of North America - TIER 3 - Internet,48280324,2014-01-01,2014-12-31
11404,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11404,SWETS: Optical Engineering - Internet,48280359,2014-01-01,2014-12-31
11405,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11405,SWETS: International Journal of Developmental Biology - Internet,48280367,2014-01-01,2014-12-31
11406,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11406,SWETS: Journal fur die Reine und Angewandte Mathematik - Internet,48280383,2014-01-01,2014-12-31
11407,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11407,SWETS: Journal of Biological Chemistry - TIER 4 - Internet,48280448,2014-01-01,2014-12-31
11408,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11408,SWETS: Journal of Lipid Research - Internet,48280456,2014-01-01,2014-12-31
11409,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11409,SWETS: Plant Cell & Plant Physiology & Teaching Tools - Multi Site License - Internet,48280464,2014-01-01,2014-12-31
11410,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11410,SWETS: Journal of Pharmacology and Experimental Therapeutics - Multi Site License - Internet,48280481,2014-01-01,2014-12-31
11411,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11411,SWETS: Molecular Pharmacology - Multi Site License - Internet,48280499,2014-01-01,2014-12-31
11412,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11412,SWETS: Pharmacological Reviews - Multi Site License - Internet,48280511,2014-01-01,2014-12-31
11413,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11413,SWETS: FASEB Journal - Negotiable - Internet,48280529,2014-01-01,2014-12-31
11414,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11414,SWETS: Endocrine Reviews - TIER 4 - Internet,48280545,2014-01-01,2014-12-31
11415,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11415,SWETS: Endocrinology & Molecular Endocrinology - Tier 4 - Internet,48280553,2014-01-01,2014-12-31
11416,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11416,SWETS: Biochemical Journal - Internet,48293094,2014-01-01,2014-12-31
11417,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11417,SWETS: Clinical Science - Internet,48293124,2014-01-01,2014-12-31
11418,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11418,SWETS: European Journal of Endocrinology - Internet,48296573,2014-01-01,2014-12-31
11419,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11419,SWETS: British Journal of Radiology - Internet - Single Site,48296590,2014-01-01,2014-12-31
11420,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11420,SWETS: Journal of Cardiovascular Surgery - 401-800 FTE's - Internet,48296612,2014-01-01,2014-12-31
11421,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11421,SWETS: Annals of the Royal College of Surgeons of England - Internet,48296620,2014-01-01,2014-12-31
11422,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11422,SWETS: Journal of Endocrinology - Internet,48296638,2014-01-01,2014-12-31
11423,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11423,SWETS: Journal of Clinical Endocrinology and Metabolism - TIER 4 - Internet,48296646,2014-01-01,2014-12-31
11424,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11424,SWETS: Infection Control and Hospital Epidemiology - Tier Unknown - Internet,48296654,2014-01-01,2014-12-31
11425,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11425,SWETS: American Orthoptic Journal - Internet,48296671,2014-01-01,2014-12-31
11426,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11426,SWETS: Global Responsibility to Protect - Internet,48305947,2014-01-01,2014-12-31
11427,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11427,SWETS: Environmental Values - Internet,48587748,2014-01-01,2014-12-31
11428,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11428,SWETS: Nature and Culture - Internet,48587756,2014-01-01,2014-12-31
11429,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11429,SWETS: Philosophy of Science - Large Higher Education - Internet,48590595,2014-01-01,2014-12-31
11430,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11430,SWETS: Contemporary Sociology - Internet,48597905,2014-01-01,2014-12-31
11431,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11431,SWETS: African Security - Internet,48599550,2014-01-01,2014-12-31
11432,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11432,SWETS: Journal of Social Work in End of Life and Palliative Care - Internet,48642200,2014-01-01,2014-12-31
11433,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11433,SWETS: Journal of the Atmospheric Sciences - Internet & Earth Interactions - Internet,48692126,2014-01-01,2014-12-31
11434,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11434,SWETS: Journal of Climate - Internet,48692134,2014-01-01,2014-12-31
11435,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11435,SWETS: Journal of Physical Oceanography - Internet & Earth Interactions - Internet,48692151,2014-01-01,2014-12-31
11436,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11436,SWETS: Linguistic Typology - Internet,48720073,2014-01-01,2014-12-31
11437,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11437,SWETS: Diabetes - American Diabetes Association - Site License - Internet,48751182,2014-01-07,2015-06-30
11438,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11438,SWETS: Journal of Symbolic Logic & Bulletin of Symbolic Logic - Internet,48795197,2014-01-01,2014-12-31
11439,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11439,SWETS: Senses and Society - Internet,48814434,2014-01-01,2014-12-31
11440,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11440,SWETS: Endocrine Society Legacy Archive 1917-1996 - Tier 4 - Annual Maintenance Fee - Internet,48891871,2014-01-01,2014-12-31
11441,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11441,SWETS: International Journal of Plant Sciences - Botanical Gazette - Large Higher Education-Inter,48891897,2014-01-01,2014-12-31
11442,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11442,SWETS: Journal of Experimental Medicine - Tier 4 - Internet,49157721,2014-01-01,2014-12-31
11443,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11443,SWETS: Genome Research - Tier 4 - Internet,49353937,2014-01-01,2014-12-31
11444,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11444,SWETS: Perspectives on Science - Historical Philosophical and Social - Internet,50358297,2014-01-01,2014-12-31
11445,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11445,SWETS: Vivarium - Leiden - Internet,50433086,2014-01-01,2014-12-31
11446,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11446,SWETS: British Journal of Psychiatry - Internet,50528389,2014-01-01,2014-12-31
11447,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11447,SWETS: Journal of Health Services Research and Policy - Internet,50528427,2014-01-01,2014-12-31
11448,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11448,SWETS: Journal of Medical Screening - Internet,50528435,2014-01-01,2014-12-31
11449,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11449,SWETS: Journal of the Royal Society of Medicine - Internet,50528443,2014-01-01,2014-12-31
11450,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11450,SWETS: Canadian Modern Language Review - Internet,50669420,2014-01-01,2014-12-31
11451,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11451,SWETS: Camera Obscura - a Journal of Feminism and Film Theory - Internet,50708191,2014-01-01,2014-12-31
11452,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11452,SWETS: Radical History Review - Internet,50794518,2014-01-01,2014-12-31
11453,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11453,SWETS: Canadian Journal of Forest Research - Site License - Internet,50796112,2014-01-01,2014-12-31
11454,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11454,SWETS: Botany - Site License - Internet,50796120,2014-01-01,2014-12-31
11455,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11455,SWETS: Centralblatt fur das Gesamte Forstwesen - Internet,50799366,2012-01-01,2012-12-31
11456,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11456,SWETS: Voprosy Iazykovogo Rodstva - Internet,51023663,2014-01-01,2014-12-31
11457,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11457,SWETS: Dix-Neuf - Journal of the Society of Dix-Neuviemistes - Internet,51041734,2014-01-01,2014-12-31
11458,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11458,SWETS: Environment and Planning A & B & C & D - Internet,51052574,2014-01-01,2014-12-31
11459,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11459,SWETS: Anthropology in Action - Internet,51081787,2014-01-01,2014-12-31
11460,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11460,SWETS: Journal of Romance Studies - Internet,51081809,2014-01-01,2014-12-31
11461,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11461,SWETS: Quarterly of Applied Mathematics - Internet,51137872,2014-01-01,2014-12-31
11462,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11462,SWETS: Journal of the European Economic Association - Internet,51147273,2014-01-01,2014-12-31
11463,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11463,SWETS: American Journal of Botany - Internet,51175307,2014-01-01,2014-12-31
11464,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11464,SWETS: Chest - Tier 5 - Internet,51189294,2014-01-01,2014-12-31
11465,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11465,SWETS: Annals of Applied Statistics - Internet,51189936,2014-01-01,2014-12-31
11466,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11466,SWETS: Annals of Applied Probability - Internet,51189944,2014-01-01,2014-12-31
11467,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11467,SWETS: Environment and Society - Internet,51193470,2014-01-01,2014-12-31
11468,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11468,SWETS: Astronomy and Astrophysics - Les Ulis - Internet,51249050,2014-01-01,2014-12-31
11469,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11469,SWETS: Deutsche Zeitschrift fur Philosophie - Internet,51508985,2014-01-01,2014-12-31
11470,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11470,SWETS: German Quarterly Package - Online Only - Internet,51508993,2014-01-01,2014-12-31
11471,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11471,SWETS: History of Religions - Large Higher Education - Internet,51509001,2014-01-01,2014-12-31
11472,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11472,SWETS: Jahrbuch der Osterreichischen Byzantinistik - Internet,51509027,2014-01-01,2014-12-31
11473,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11473,SWETS: Research in African Literatures - Internet,51509043,2014-01-01,2014-12-31
11474,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11474,SWETS: Signs - Journal of Women in Culture and Society - Large Higher Education - Internet,51509052,2014-01-04,2015-03-31
11475,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11475,SWETS: STUF - Language Typology and Universals - Internet,51509060,2014-01-01,2014-12-31
11476,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11476,SWETS: Australian and New Zealand Journal of Criminology - Internet,51584720,2014-01-01,2014-12-31
11477,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11477,SWETS: Philosophy Psychiatry and Psychology - Internet,51855073,2014-01-01,2014-12-31
11478,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11478,SWETS: Annals of Statistics - Internet,52341278,2014-01-01,2014-12-31
11479,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11479,SWETS: Journal of GLBT Family Studies - Internet,52469495,2014-01-01,2014-12-31
11480,http://demo.kbplus.ac.uk/kbplus/subscriptionDetails/index/11480,SWETS: GLQ - a Journal of Lesbian and Gay Studies - Internet,52606743,2014-01-01,2014-12-31
