./swets/www/John Benjamins Publishing_Master.csv,/kbplus/packageDetails/show/570,570
./swets/www/Johns Hopkins University Press_Master.csv,/kbplus/packageDetails/show/1319,1319
./swets/www/Journal of Bone and Joint Surgery_Master.csv,/kbplus/packageDetails/show/1320,1320
./swets/www/KT Press_Master.csv,/kbplus/packageDetails/show/1321,1321
./swets/www/Magnolia Press_Master.csv,/kbplus/packageDetails/show/1322,1322
./swets/www/Mathematical Sciences Publishers_Master.csv,/kbplus/packageDetails/show/1323,1323
./swets/www/Men's Studies Press_Master.csv,/kbplus/packageDetails/show/1324,1324
./swets/www/Michigan State University Press (JSTOR)_Master.csv,/kbplus/packageDetails/show/1325,1325
./swets/www/National Association of Geoscience Teachers_Master.csv,/kbplus/packageDetails/show/1326,1326
./swets/www/National Bureau of Economic Research_Master.csv,/kbplus/packageDetails/show/1327,1327
./swets/www/National Council of Teacher of English_Master.csv,/kbplus/packageDetails/show/981,981
./swets/www/National Council Teachers Mathematics (JSTOR)_Master.csv,/kbplus/packageDetails/show/1328,1328
./swets/www/Optical Society_Master.csv,/kbplus/packageDetails/show/949,949
./swets/www/Oxford Centre for Buddhist Studies_Master.csv,/kbplus/packageDetails/show/1329,1329
./swets/www/Physicians Postgraduate Press Inc_Master.csv,/kbplus/packageDetails/show/1330,1330
./swets/www/Policy Press_Master.csv,/kbplus/packageDetails/show/440,440
./swets/www/Royal College of General Practitioners_Master.csv,/kbplus/packageDetails/show/1331,1331
./swets/www/Royal College of Surgeons of England_Master.csv,/kbplus/packageDetails/show/1332,1332
./swets/www/Society for Longitudinal and Life Course Studies_Master.csv,/kbplus/packageDetails/show/1333,1333
./swets/www/Society of Nuclear Medicine and Molecular Imaging_Master.csv,/kbplus/packageDetails/show/1334,1334
./swets/www/Society Photo Optical Instrumentation_Master.csv,/kbplus/packageDetails/show/1335,1335
./swets/www/Taylor & Francis_Master.csv,/kbplus/packageDetails/show/957,957
./swets/www/Telos Press_Master.csv,/kbplus/packageDetails/show/1336,1336
./swets/www/The MIT Press_Master.csv,/kbplus/packageDetails/show/437,437
./swets/www/University of California Press (JSTOR)_Master.csv,/kbplus/packageDetails/show/1337,1337
./swets/www/University of Illinois Press (JSTOR)_Master.csv,/kbplus/packageDetails/show/1338,1338
./swets/www/University of Illinois Press (Project Muse)_Master.csv,/kbplus/packageDetails/show/1339,1339
./swets/www/University of Illinois Press (UIP)_Master.csv,/kbplus/packageDetails/show/1340,1340
./swets/www/University of Pennsylvania Press_Master.csv,/kbplus/packageDetails/show/1341,1341
./swets/www/University of Pittsburgh_Master.csv,/kbplus/packageDetails/show/1342,1342
./swets/www/University of Toronto Press_Master.csv,/kbplus/packageDetails/show/1343,1343
./swets/www/Verlag der Österreichischen Akademie der Wissenschaften_Master.csv,/kbplus/packageDetails/show/1344,1344
./swets/www/Vittorio Klostermann_Master.csv,/kbplus/packageDetails/show/1345,1345
./swets/www/Walter De Gruyter_Master.csv,/kbplus/packageDetails/show/1046,1046
./swets/www/White Horse Press_Master.csv,/kbplus/packageDetails/show/816,816
./swets/www/World Scientific_Master.csv,/kbplus/packageDetails/show/617,617
,
