Notes,KB_ID,KB_Name,JUSP_ID,ISNI,IP_ADDRESS
,483,University College London - UCL,ucl,0000 0001 2190 1201,128.16.*.*; 128.40.*.*; 128.41.0.*-128.41.63.*; 144.82.0.*-144.82.30.*; 144.82.40.*-144.82.79.*; 144.82.84.*-144.82.87.*; 144.82.92.*-144.82.248.*; 144.82.254.*-144.82.255.*; 193.60.221.*; 194.66.95.*; 193.60.227.*-193.60.233.*; 193.60.239.*; 193.60.241.0-193.60.241.63; 193.60.242.*-193.60.249.*; 193.60.255.*; 193.62.64.*-193.62.79.*; 194.66.92.*; 194.82.240.*-194.82.248.*; 194.83.52.*-194.83.55.*; 195.195.96.*-195.195.103.*; 212.219.75.* 
,465,University College London  (School of Pharmacy),,,193.60.221.*; 194.66.95.*
,484,University College Plymouth St Mark and St John,,0000 0004 0537 9996,194.80.168.101; 146.97.145.1-2
,485,University for the Creative Arts,uca,0000 0000 9830 6702,193.62.44.*; 194.80.225.*; 194.82.131.*; 165.193.178.67; 216.17.118.8
,486,University of Aberdeen,abd,0000 0004 1936 7291,139.133.*.*; 143.234.32-47.*; 137.50.0-191.*
,487,University of Abertay Dundee,aty,0000 0001 0339 8665,193.60.160.0 - 193.60.175.255
,488,University of Bath,bat,0000 0001 2162 1699,138.38.*.*
,489,University of Bedfordshire,bed,0000 0000 9882 7057,193.62.132.1-193.62.135.255; 194.80.208.1-194.80.223.225; 212.219.119.1-212.219.119.127; 212.219.128.1-212.219.130.255
,490,University of Birmingham,bhm,0000 0004 1936 7486,147.188.*.*
,491,University of Bolton,bol,0000 0001 2166 3186,193.63.48-49.*; 194.82.8-11.*
,492,University of Bradford,bra,0000 0004 0379 5283,143.53.*.*
,493,University of Brighton,brn,0000 0001 2107 3784,192.173.128-135.*; 193.62.160-191*; 194.81.192-207.*; 194.83.112-127.*
,494,University of Bristol,bri,0000 0004 1936 7603,137.222.*.*
,495,University of Cambridge,cam,0000 0001 2188 5934,131.111.*.*; 129.169.*.*; 128.232.*.*; 193.60.80.*; 193.60.83.*; 193.60.85.*; 193.60.90.*; 193.60.91.*; 193.60.92.*; 193.60.93.*; 193.60.94.*; 193.60.95.*; 216.17.113.207; 216.17.121.207
,496,University of Central Lancashire,lcs,0000 0001 2167 3843,193.61.240.* - 193.61.255.*
,497,University of Chester,che,0000 0001 0683 9016,"193.62.27.*; 194.80.193.*; 194.82.172.*; 195.195.128.*, 194.82.32-35.*"
,498,University of Chichester,chi,0000 0001 0739 2308,194.66.216-219.*; 194.81.232.*
,499,University of Cumbria,cum,0000 0000 8761 3918,193.62.158-159.*; 194.81.188-191.*; 194.83.183.1-254; 195.195.184-187.*;
,500,University of Derby,der,0000 0001 2232 4004,195.194.178.252; 195.194.178.200; 195.194.178.251; 193.60.149.104; 193.60.149.105; 193.60.149.88
,501,University of Dundee,dun,0000 0004 0397 2876,134.36.0.0 - 134.36.8.255; 134.36.10.0 - 134.36.255.255
,502,University of East Anglia - UEA,uea,0000 0001 1092 7967,139.222.*.*
,503,University of East London,uel,0000 0001 2189 1306,161.76.*.*;
,504,University of Edinburgh,edi,0000 0004 1936 7988,129.215.*.* (exclude 129.215.5.250 and 129.215.5.251); 192.82.153.0-255; 192.107.168.0-255; 193.62.216.0-255 ; 193.63.65.0-255; 194.80.111.0-255; 194.81.240-255.*; 194.81.88-95.*   
,505,University of Essex,esx,0000 0001 0942 6946,155.245.*.*;
,506,University of Exeter,exe,0000 0004 1936 8024,144.173.*.*; 205.227.90.59
,508,University of Glasgow,gla,0000 0001 2193 314X,"130.209.*.*, 194.36.1.*, 194.80.44-45.*, 194.80.110.*, 194.81.171-173.*"
,509,University of Gloucestershire,glo,0000 0001 2191 9137,193.61.84.*; 194.66.192 - 195.*; 194.81.184-187.*; 195.195.4.*
,510,University of Greenwich,gre,0000 0001 0806 5472,193.60.48-79.*
,511,University of Hertfordshire,her,0000 0001 2161 9644,147.197.*.*
,512,University of Huddersfield,hud,0000 0001 0719 6059,161.112.*.*
,513,University of Hull,hul,0000 0004 0412 8669,150.237.0.1-150.237.255.254; 194.83.246.0-194.83.247.255
,514,University of Kent,ken,0000 0001 2232 2818,129.12.11.64 - 129.12.11.95
