identifier,oldname,newname,enddate
715,Henley Publishing:Master:2014,Henley Publishing:Master,2100-01-01
714,Highlights Publications:Master:2014,Highlights Publications:Master,2100-01-01
950,Hindawi Publishing Corporation:Master:2014,Hindawi Publishing Corporation:Master,2100-01-01
713,History Today:Master:2014,History Today:Master,2100-01-01
723,Hollywood : ASC Holding Corp:Master:2014,Hollywood : ASC Holding Corp:Master,2100-01-01
540,Human Kinetics Journals:Master:2014,Human Kinetics Journals:Master,2100-01-01
805,ICSA:Master:2014,ICSA:Master,2100-01-01
107,IEEE/IET:Master:2012,IEEE/IET:Master,2100-01-01
987,IGI Global:Master:2014,IGI Global:Master,2100-01-01
804,IHS Fairplay:Master:2014,IHS Fairplay:Master,2100-01-01
876,Imaginative Minds:Master:2014,Imaginative Minds:Master,2100-01-01
812,Imagine Publications:Master:2014,Imagine Publications:Master,2100-01-01
873,Immediate Media Company:Master:2014,Immediate Media Company:Master,2100-01-01
544,Imprint Academic:Master:2014,Imprint Academic:Master,2100-01-01
811,Incisive Media:Master:2014,Incisive Media:Master,2100-01-01
496,Independent Scholarly Publishers Group:Master:2014,Independent Scholarly Publishers Group:Master,2100-01-01
888,Independent:Master:2014,Independent:Master,2100-01-01
802,Inderscience Enterprises:Master:2014,Inderscience Enterprises:Master,2100-01-01
801,Indiana University Press:Master:2014,Indiana University Press:Master,2100-01-01
800,Informa Cargo:Master:2014,Informa Cargo:Master,2100-01-01
578,Informa Healthcare:Master:2014,Informa Healthcare:Master,2100-01-01
921,Informa:Master:2014,Informa:Master,2100-01-01
799,Informs:Master:2014,Informs:Master,2100-01-01
793,Institute for Outdoor Learning:Master:2014,Institute for Outdoor Learning:Master,2100-01-01
580,Institute of Agricultural Management:Master:2014,Institute of Agricultural Management:Master,2100-01-01
986,Institute of Education - University of London:Master:2014,Institute of Education - University of London:Master,2100-01-01
813,Institute of Industrial Engineers:Master:2014,Institute of Industrial Engineers:Master,2100-01-01
803,"Institute of Marine Engineering, Science and Technology:Master:2014","Institute of Marine Engineering, Science and Technology:Master",2100-01-01
589,Institute of Physics:Master:2014,Institute of Physics:Master,2100-01-01
934,Institute of Shipping Economics and Logistics:Master:2014,Institute of Shipping Economics and Logistics:Master,2100-01-01
494,Institution of Civil Engineers Publishing:Master:2014,Institution of Civil Engineers Publishing:Master,2100-01-01
662,Institution of Mechanical Engineers:Master:2014,Institution of Mechanical Engineers:Master,2100-01-01
469,Intellect:Master:2014,Intellect:Master,2100-01-01
